752 22.80718 11.423092  0.068495  0.0000 48  39.9513  13.8837
752 19.72073 7.807077  0.005620  0.0000 39  35.4470  12.9954
752 18.81881 6.682121  0.007923  0.0000 45  34.1439  12.8173
776 37.04612 31.088386  42711.986480  0.0000 69  69.2564  23.7469
776 32.21296 22.176301  165.611339  0.0000 52  54.0893  17.4918
776 28.46840 15.276897  8.147585  0.0000 48  45.4814  15.7834
776 24.71326 11.039690  0.383477  0.0000 39  39.3951  13.9343
776 21.40538 7.552946  0.013103  0.0000 45  34.9319  12.9578
776 20.37586 6.475031  0.026266  0.0000 46  33.9037  13.0075
820 42.95262 31.906543  9843468.867667  0.0000 66  63.2585  15.7068
820 34.81448 24.081481  1818.375406  0.0000 60  52.9162  13.1895
820 29.12010 17.543616  14.847286  0.0000 55  45.0633  11.8744
820 25.58073 13.180204  0.849424  0.0000 53  39.4522  10.6268
820 22.61941 9.452038  0.037386  0.0000 46  35.0087  9.9114
820 21.69203 8.079410  0.086809  0.0000 43  33.6245  9.8999
830 45.84894 31.998910  141800676.667711  0.0000 80  64.6302  18.0228
830 39.99836 22.838292  215395.221573  0.0000 65  51.2231  13.7764
830 31.25600 15.721133  106.155598  0.0000 44  42.6293  12.2997
830 26.23413 11.353398  1.548449  0.0000 49  36.9939  11.0321
830 22.21001 7.761523  0.025899  0.0001 46  32.9486  10.5786
830 21.14220 6.649084  0.052468  0.0001 46  31.8514  10.5939
953 36.36549 23.813544  22819.013668  0.0000 68  53.7690  16.2775
953 30.93275 17.985477  50.937375  0.0000 52  45.3051  13.6417
953 26.97584 13.091767  2.062547  0.0000 48  39.0796  12.3098
953 24.51216 9.830611  0.319076  0.0001 40  34.5529  11.0443
953 22.41629 7.052325  0.031133  0.0004 49  30.9773  10.2470
953 21.80391 6.047973  0.096201  0.0005 46  29.9853  10.2594
998 31.40614 37.069085  236.902736  0.0000 69  68.9390  16.6968
998 26.98344 26.428912  1.345635  0.0000 62  54.3186  12.7166
998 24.18973 18.214141  0.160869  0.0000 46  44.6517  11.2645
998 22.58772 13.131538  0.056477  0.0000 44  38.4244  10.1197
998 21.33970 8.990682  0.012448  0.0000 51  33.7008  9.5370
998 26.75518 7.701780  9.185510  0.0052 38  32.4640  9.5890
1056 40.01819 29.361971  659747.420557  0.0001 79  49.6570  5.2351
1056 33.18666 22.171365  406.032960  0.0004 64  41.6575  4.4261
1056 28.38184 16.151442  7.523437  0.0016 43  35.3705  4.1591
1056 25.16564 12.136609  0.580361  0.0036 53  31.2742  4.0776
1056 22.43189 8.673209  0.031572  0.0070 40  27.8237  4.0906
1056 21.49412 7.461215  0.072396  0.0087 49  26.6423  4.1211
1062 29.02800 32.119132  26.511230  0.0000 77  62.1057  15.3626
1062 25.75891 22.909750  0.439096  0.0000 62  49.1236  11.5899
1062 23.87340 15.786813  0.120883  0.0000 43  40.4958  10.0851
1062 22.33307 11.392475  0.045274  0.0000 40  35.0720  9.0556
1062 21.29911 7.757994  0.012066  0.0002 43  30.7934  8.4115
1062 21.16392 6.694846  0.053518  0.0004 43  29.7717  8.4529
1063 41.07041 31.781634  1738858.897338  0.0000 70  70.1542  23.8088
1063 32.60623 22.660976  237.899161  0.0000 62  54.6622  17.4374
1063 26.88082 15.601915  1.889915  0.0000 53  45.8994  15.7338
1063 23.38788 11.266954  0.114991  0.0000 49  39.7308  13.9001
1063 20.46685 7.699848  0.007144  0.0000 43  35.1555  12.8919
1063 19.57975 6.609375  0.013357  0.0000 44  34.1292  12.9560
1148 40.74700 24.091139  1290920.613738  0.0000 71  54.6410  16.5531
1148 34.19087 18.193947  1023.866723  0.0000 56  46.0493  13.8586
1148 28.63197 13.234453  9.471907  0.0000 42  39.7462  12.5151
1148 24.75150 9.956891  0.397134  0.0001 39  35.2096  11.2560
1148 21.42138 7.140060  0.013269  0.0001 50  31.6080  10.4713
1148 20.46081 6.087907  0.028329  0.0001 41  30.5407  10.4561
1155 31.53753 32.908924  267.378891  0.0000 66  67.4568  19.8009
1155 26.84769 23.443236  1.188082  0.0000 57  53.0341  14.8439
1155 23.56030 16.173319  0.091279  0.0000 43  44.2080  13.2877
1155 21.54898 11.642292  0.023589  0.0000 46  38.2910  11.9018
1155 19.87419 7.962453  0.005808  0.0000 40  34.0396  11.3302
1155 19.33317 6.858133  0.011064  0.0000 49  32.9863  11.3812
1160 34.40635 24.121665  3755.277150  0.0000 78  58.0903  19.9446
1160 29.39514 18.185322  12.363168  0.0000 60  48.6977  16.4883
1160 25.80569 13.247378  0.703688  0.0000 52  42.2176  14.9461
1160 23.54805 9.947805  0.132844  0.0000 51  37.2885  13.3166
1160 21.69099 7.117004  0.016530  0.0000 49  33.5305  12.3894
1160 21.08222 6.117608  0.049674  0.0000 43  32.6350  12.4933
1206 39.81854 34.129918  548930.370090  0.0000 72  72.4127  23.3828
1206 32.87132 24.324572  303.688483  0.0000 63  56.5680  17.3434
1206 27.84690 16.774518  4.597620  0.0000 46  47.3150  15.6404
1206 24.70365 12.105790  0.380122  0.0000 48  40.8046  13.7988
1206 22.07478 8.256999  0.022986  0.0000 48  36.0583  12.9013
1206 24.54605 7.099323  1.200757  0.0001 38  34.7139  12.7146
1220 40.55775 31.551336  1084433.320525  0.0000 78  65.0457  18.0859
1220 33.82542 23.794796  731.247554  0.0000 62  53.9979  14.7946
1220 28.77455 17.359736  10.800741  0.0000 50  46.1632  13.3950
1220 25.57167 13.032565  0.842387  0.0000 41  40.4916  12.0505
1220 22.86651 9.316455  0.046787  0.0000 44  36.0390  11.3141
1220 21.94759 8.020614  0.109779  0.0000 48  34.7704  11.3412
1278 34.71002 26.684886  4967.153771  0.0000 73  56.9071  15.5196
1278 29.39247 20.147249  12.332722  0.0000 63  47.8809  13.0311
1278 25.95867 14.682994  0.809778  0.0000 45  41.0914  11.7058
1278 23.99628 11.019462  0.199387  0.0000 46  36.2277  10.5057
1278 22.39656 7.910038  0.030587  0.0001 43  32.3891  9.7765
1278 21.93370 6.777550  0.108385  0.0002 45  31.2484  9.7683
1286 49.20474 34.866275  3118865834.204385  0.0000 77  67.1454  17.3075
1286 38.77188 24.838341  69605.737199  0.0000 60  52.9804  13.1705
1286 30.27024 17.134118  42.820676  0.0000 45  43.8174  11.7117
1286 24.12261 12.337644  0.223668  0.0000 42  37.7905  10.4813
1286 19.69166 8.436048  0.005590  0.0000 39  33.2928  9.8851
1286 19.04468 7.273285  0.009069  0.0000 40  32.2027  9.9578
1380 38.59325 31.303054  177583.281602  0.0000 77  62.0019  16.2329
1380 34.06204 22.320597  909.309970  0.0000 66  49.2102  12.4235
1380 29.27931 15.379801  17.191778  0.0000 52  40.8777  11.0319
1380 24.42656 11.088805  0.295083  0.0000 44  35.4635  9.9087
1380 20.57802 7.566582  0.007547  0.0000 47  31.4066  9.3739
1380 19.65338 6.511267  0.014167  0.0001 37  30.3428  9.3655
1395 52.58231 32.887542  69988085119.365906  0.2685 76  54.0099  6.3754
1395 41.63872 23.460255  975844.652312  0.3555 62  42.7618  4.5546
1395 34.05427 16.170206  1397.139676  0.4251 45  34.9832  4.0660
1395 29.42871 11.637081  29.312700  0.4314 48  30.3415  3.9575
1395 25.89502 7.971333  0.756915  0.4898 39  26.6700  3.9517
1395 24.74624 6.861404  1.443866  0.4412 49  25.6346  4.0262
1419 45.89897 31.481723  148486646.497358  0.0000 75  66.8639  20.8803
1419 37.71259 22.461828  26237.851290  0.0000 61  52.7226  15.7589
1419 30.65256 15.467802  60.894254  0.0000 47  44.2454  14.2757
1419 26.33093 11.148574  1.692611  0.0000 42  38.3744  12.7240
1419 22.74723 7.616820  0.041978  0.0000 46  34.4034  12.2847
1419 21.85475 6.531117  0.100801  0.0000 46  33.2998  12.2668
1420 38.68487 32.810042  193218.661464  0.0000 80  71.5726  24.0205
1420 32.22586 23.411104  167.590113  0.0000 62  55.6540  17.5008
1420 27.39137 16.138839  3.023049  0.0000 46  46.7036  15.8227
1420 29.08151 11.630563  21.290595  0.0000 43  40.3513  13.9787
1420 21.80321 7.949640  0.018172  0.0000 50  35.6479  12.9562
1420 25.21341 6.851700  2.220220  0.0002 43  34.6149  13.0212
1470 39.74180 31.837748  511469.217215  0.0000 70  67.3759  20.9664
1470 32.88992 22.707047  308.934451  0.0000 62  53.0125  15.7338
1470 28.03511 15.638994  5.467351  0.0000 53  44.4585  14.2478
1470 31.71610 11.287294  240.977385  0.0018 45  38.5522  12.6932
1470 22.12718 7.708931  0.024070  0.0000 50  34.5435  12.2628
